,review_author,review_header,review_helpful,review_posted_date,review_rating,review_text,review_length
29,Sebastian Fernandez Ellero,"Precise, easy to use, cheap.",0,2018-06-19,5.0,A must-have item for every traveler. It replaced my old mechanic one that broke on my last trip. Reports exactly the same weight as several airport scales. Looks really durable.,177
30,Neha Malhotra,Five Stars,0,2018-06-08,5.0,Worth the price!!,17
31,JOSE RAMON,Cheap low quality!!!,1,2018-06-02,1.0, The material is cheap plastic. I thought that since it had amazon name on it quality would be top of the line. Opened it and doesn’t work since I opened it. Sadly I Sent it to my vacation house and didn’t opened till now and can’t get my money back or open a complaint. ☹️,273
32,Bjørg N.,Four Stars,0,2018-05-30,4.0,"Sometimes it's not showing the exact weight, but it's very close.",65
33,Augustus W.,Four Stars,0,2018-05-24,4.0,good,4
34,Norm C,Nice scale,0,2018-05-24,5.0,It works nicely and packs in a lot less space.  Much better than having a big metal hook to explain to TSA.,107
35,Amazon Customer,Junk...,3,2018-05-19,1.0,"Piece of junk. Never buy. It's been sitting idle for almost a year. After that I really needed to check the weight of a suitcase. Put in a fresh battery - just in case. It turned on right on, shown 0 after a second. But as soon as there is any pull on the hook, even the light one of less than a pound it turns off. Tried multiple times with the same result - turns right on but as soon as you pull just a tiny bit on the actual belt it's off. Useless. Way past Amazon warranty so I got 0 use of it - when I actually needed it I've got a dud...",544
36,Laura,Never travel without it!!!!,0,2018-05-13,5.0,By far one of my best purchases ever!!!! I take t with me when I travel.,72
37,Marco Martínez,this is the perfect device for saving money and take decisions about your,0,2018-05-13,5.0,"Nowadays, when airlines make you pay for any single pound more in your luggage, this is the perfect device for saving money and take decisions about your bags",158
38,James Boot,Five Stars,0,2018-05-11,5.0,"Works perfectly, Thank you",26
39,Yassiel,Three Stars,0,2018-05-10,3.0,Sometimes it does not work but still helpful to know how many pounds you packaged,81
40,Smith 3,Easy to use and take with you,0,2018-05-10,5.0,This was so useful on my recent trip.  I could pack my bags and know that I wouldn't be charged extra at the airport for an overweight bag.,139
41,Brian K. Ralli,Five Stars,0,2018-05-08,5.0,Worked great. Seemed to match weight at airport scale.,54
42,Alaina,Buy it!!,0,2018-05-05,5.0,"This thing works miracles! I have always had a problem of exceeding the weight limit at airports, but since purchasing it I haven’t had any problems. Everyone thinks it is a weird device to have, but god it is so nice having it!",228
43,Amazon Customer,great deal this product is super useful when traveling overseas,0,2018-05-02,5.0,"great deal this product is super useful when traveling overseas, you want to make sure you don't exceed weight limits because that will hurt you wallet and delay your boarding process, the device itself is nicely made and does the job, I ordered one but it came with a broken button, however, I reported that and they sent me replacement that worked perfectly.",360
44,gok0513,Four Stars,0,2018-04-27,4.0,Battery doesn’t work long- but it’s accurate,44
45,Amazon Customer,Four Stars,0,2018-04-22,4.0,"Average, yet hard to get setting so you can read it when lifting luggage.  I would try something else.",102
46,NickyB,"Absolute Essential, When it Works",0,2018-04-10,3.0,"The tool is essential if you travel a lot and don't like weighing yourself with the suitcase to figure it out (trust me been there). I do notice that nearly 40% of the time while using this, the screen just turns off. In fact the entire gadget turns off until I set the luggage down, redo the process (sometimes up to 4 times for one use). Luckily I do not weigh my luggage in a hurry and this product is very fairly priced, but when purchasing anything I expect it to work basically every time for it's indented use. I am no expert, but I am assuming it is the shaking while lifting the suitcase that may cause the battery to very briefly become loose.",653
47,Ronald Badilla,Five Stars,0,2018-04-10,5.0,Excellent,9
48,Patti,Five Stars,0,2018-04-08,5.0,Lightweight and very accurate.,30
49,James Brooks,Four Stars,0,2018-04-06,4.0,Works as described,18
50,Richard Kingham,Five Stars,0,2018-04-05,5.0,Accurate and useful. Small and light,36
51,angelito,Five Stars,0,2018-04-04,5.0,A+,2
52,Rosie Makoski,Highly recommend,0,2018-03-31,5.0,"At first I was hesitant because we had a hefty suitcase, but it is made well to lift. It's small for easy storage too.",118
53,Hari,Five Stars,0,2018-03-30,5.0,"Excellent product, works perfectly",34
54,Caitlin,Works well,0,2018-03-26,5.0,"Used twice, was not charged extra rees for my bag being to heavy. Perfect for what I needed.",92
55,RakJar,easy to carry in cabin luggage,0,2018-03-24,5.0,"The readings are accurate,Light weight, easy to carry in cabin luggage",70
56,J. Schenck,nice feature.,0,2018-03-23,5.0,"Invaluable tool for our European airline travel!  Locks and holds weight value after a few seconds of stable holding, nice feature.",131
57,pritam,Really useful device. Double Thumps,0,2018-03-21,5.0,It worth every penny I spent on this. Really useful device. Double Thumps up,76
58,Ali Mohammad,Five Stars,0,2018-03-19,5.0,Good quality product line by Amazon,35
59,Mickey Nachimovskey,Overall a good tool. Not the smallest,0,2018-03-18,4.0,"Overall a good tool. Not the smallest, a bit bulky. The battery cover tends to slip away and fall (not the best build quality). It does feel like it’s not going to hold a heavy luggage while scaling, but surprisingly it does. I weighted my luggage and it was 28 kilos and the scale was fine.
For its price it does its work pretty well.",335
60,Amazon Customer,"Improve grip, switches off at times",0,2018-03-18,2.0,It turns off at times when I’m lifting a bag above 54lbs. Have to switch it on and try again. The grip is not as good as another option available on the site.,158
61,laurent,One Star,0,2018-03-16,1.0,Intermittent functionality from day one.  Display cuts in and out and resets to zero,84
62,SKB,The scale jumps around and I can barely catch what ...,0,2018-03-15,3.0,The scale jumps around and I can barely catch what the weight really is.  It does work if you can hold your luggage long enough and still enough.,145
63,Jae K.,Four Stars,0,2018-03-13,4.0,cheap affordable digital scale to measure small items with handles and luggage,78
64,TripleL,Five Stars,0,2018-03-12,5.0,Easy to use and very accurate.,30
65,DONNA M VANDERBUSH,Five Stars,0,2018-03-09,5.0,Worked beautifully. Took the guesswork out of packing.,54
66,Akash Sethiya,Five Stars,0,2018-03-08,5.0,Awesome Product.,16
67,Mich,After a surprise $50 charge for a bag being 2# ...,0,2018-03-06,5.0,After a surprise $50 charge for a bag being 2# overweight we always make sure we aren’t surprised again! Accurate and well worth the price!,139
68,sure2rain,Must have for frequent travelers,0,2018-03-06,5.0,Display easy to read and remains on after taking weight off.,60
69,Devyani B.,Two Stars,0,2018-03-04,2.0,Not that accurate.  Had to reshuffle luggage content at the airport,67
70,Janice Quinn,Four Stars,0,2018-02-28,4.0,I think the quality is good. Just don’t think I’ll use it like I thought I would.,81
71,Luis Phoenix ,I would recommend to give yourself a two pound buffer just incase,1,2018-02-28,4.0,"Was a couple pounds off when compared to the airport scale which unfortunately cost me more when checking in. Used with the Amazon Basics large duffle, I would recommend to give yourself a two pound buffer just incase.",218
72,mahn2016,Five Stars,0,2018-02-27,5.0,Worked perfectly! Really eased my mind when it came to airport luggage weight guidelines.,89
73,kayakjohn,One Star,0,2018-02-26,1.0,I did not work. It did not turn on.,35
74,Amazon Customer,Works great,0,2018-02-25,5.0,"Was only a pound or two off (probably because I had a hard time holding my heavy suitcase up, lol) from the scales at the airport.  Great to have to use at home & while on vacation.",181
75,Amazon Customer,Best purchase in a while,1,2018-02-22,5.0,"This is the best travel purchase I've made. I usually have 2 fully packed suitcases when I travel, and this has helped me adjust the weight of each accordingly. This scale is quite accurate and has saved me from paying overweight fees many times. If you travel often and usually check a bag, you absolutely need one.",316
76,Gabianza,Five Stars,0,2018-02-21,5.0,"Looks nice, works good. Adequate price.
Would recommend.",56
77,BoonDock Saint,Works well,0,2018-02-21,5.0,It works and is accurate.,25
78,Frani kaye,Five Stars,0,2018-02-20,5.0,Came within a pound of airport scale and was easy to use and take with,70
79,Marcelo de Matheus,"Good product, and works as",0,2018-02-19,5.0,"Good product , and works as expected",36
80,Sam Powell,Great little gadget that is essential if you travel with ...,0,2018-02-18,4.0,I bought this as a gift for my daughter and her husband. Great little gadget that is essential if you travel with large bags.,125
81,Gerald,Three Stars,0,2018-02-18,3.0,A little difficult to hold the suitcase and read  the weight,60
82,Icilda J.,One Star,0,2018-02-14,1.0,No good,7
83,C. Hart,Avoid overweight baggage fees!,0,2018-02-14,4.0,"I had a little difficulty with it at first, the battery didn't seem to be secure so when I would pick it up it would turn off. I jiggled the battery and tried not to hold it right on the battery door, it worked fine after that. I like that it was small enough to bring with us and reweigh our bags after we added souvenirs.",323
84,Adidashine,Five Stars,0,2018-02-12,5.0,Works great and is super light / portable.,42
85,JDG,SAVES YOU MONEY! avoid weight fees when flying.,0,2018-02-12,5.0,Great small scale that helps me avoid weight fees when flying. Simple to use and travels easily tucked away in your bag. Come with battery installed. Digital display is easy to use and can be easily toggled between Lbs and Kgs,226
86,D. Bennetts,Easy to use,0,2018-02-12,4.0,"Love this product.  We've used it on several overseas trips now to ensure our luggage is within the carry on weight limits and haven't had an issue. It's hard to hold still to get a consistent reading, so just to be safe, we do several readings and take the highest one. It's pretty easy to use.",295
87,Michael Gallagher,Works Great,0,2018-02-11,5.0,"This luggage scale works great, and has helped my family avoid having the proverbial one bag that is over the limit with the mass “stuff shift” in the middle of the airport.  If you travel frequently or with someone who has a hard time of leaving something behind on a trip, I would highly recommend you get this – it sure beats the $25 or more bag fees of the airlines.",370
88,Alejandro,Very simple and easy to use,0,2018-02-10,5.0,"Very simple and easy to use. The battery ran out within the 2 days since the fisrt use, but the scale is great!",111
89,JLM,It works,0,2018-02-09,5.0,"I'm hoping this holds up and continues to work.  I hold my breath every time I check a bag at the airport when I'm on my way home, hoping that I haven't shopped too much.  Now I will know when to take a few items out.",217
90,Amazon Customer,Works very well. Display is a bit small and ...,0,2018-02-09,4.0,Works very well.  Display is a bit small and hard to read.,58
91,Amazon Customer,Five Stars,0,2018-02-06,5.0,it works,8
92,Amazon Customer,Five Stars,0,2018-02-06,5.0,Accurate and easy to operate. I was able to weight an oversized 50lb bag without a problem.,91
93,javo,Great product,0,2018-02-02,5.0,Great product for thw price. Works fine,39
94,raebug,Five Stars,0,2018-01-28,5.0,Love this! Helps us make sure our luggage isn’t too heavy when we travel.,73
95,habiba,Five Stars,0,2018-01-26,5.0,perfect and accurate,20
96,Marguerite German,Five Stars,0,2018-01-25,5.0,easy way to weigh a bag and you take it with you in your travels,64
97,Jacob Berger,Works well for the most part.,0,2018-01-23,4.0,"Works well, the design is a bit wonky though. I wish I could rotate the screen instead of having to tilt my head at times.",122
98,Samuel R. Smoot,Do you need to make sure you're under 40lbs? This will do that. That's about it.,2,2018-01-22,2.0,It has about 1lb accuracy AFAICT since its precision is limited to 500g. I didn't expect that.,94
99,Happy Mom,they loved it.,0,2018-01-20,5.0,"Got as a gift, they loved it.",29
100,Stephanie Coronado,They’re very happy with it,0,2018-01-17,5.0,My parents travel frequently and this scale does its job perfectly! They’re very happy with it.,95
101,Julie Kalahar,It works,0,2018-01-12,4.0,"It's good,Works for me.",23
102,Albert Vazquez,"Works as expected, took it with me on my ...",0,2018-01-11,5.0,"Works as expected, took it with me on my travels and weights are spot on as compared to the airline baggage check in scales.",124
103,Hyeseong Ju,"High quality, very useful.",0,2018-01-11,5.0,"Cheap, does what it says, and it's great!",41
104,Max Melgarejo,Pays for itself by avoiding overweight charges,0,2018-01-11,5.0,"This thing is the best! It seems super accurate. I used this before our trip to Peru to make sure our bags weren't overweight. I was able to shift stuff between my wife's bag and my bag to help keep us under the limit. On the return trip, we used this to overpack one bag in order to avoid paying double the fees for an overweight bag. I'm confident this paid for itself on the first trip.",389
105,anastasiab.,Convenient!,0,2018-01-10,5.0,Do you realize how nice it is for us budget travelers to know if we've accumulated too many souvenirs and crap before the airline tells us at check-in? Wish I'd have bought this sooner!,185
106,Ruelle Wang,Five Stars,0,2018-01-10,5.0,quite cost effective.,21
107,bucm,Accurate,0,2018-01-09,5.0,Accurate scale,14
108,Samantha R.,Worth every penny.,0,2018-01-09,5.0,"GET THIS. YOU NEED THIS. Ships fast, packs light, easy to read, comes with batteries.",85
109,teja,Five Stars,0,2018-01-08,5.0,The product is good and I would refer a friend,46
110,emilymc527,Seems accurate,0,2018-01-03,4.0,"It worked great for my suitcase, but it was a little hard to lift my full suitcase enough to get an accurate reading.  After a couple of tries, I was able to figure it out.  The best part was the number the scale gave me was within .5 pound of the airport's scale.",264
111,P. Hsu,Five Stars,0,2018-01-02,5.0,Compact and accurate,20
112,Giovanni C.,Two Stars,0,2017-12-30,2.0,A little bulky.,15
113,Coleman Hall,Battery died within 10 minutes of use.,1,2017-12-30,1.0,"I am disappointed with this product because the provided battery, the kind where you pull the tab out to activate the device, died after 10 minutes from the unboxing. I expected more out of an AmazonBasics product.",214
114,ROGERIO PRADO DE JESUS,Five Stars,0,2017-12-29,5.0,Simple and effective.,21
115,Bobby,Four Stars,0,2017-12-27,4.0,good one..,10
116,Amazon Customer,Easy to use and pretty precise,0,2017-12-22,5.0,Easy to use and pretty precise...It’s always good to have one and check your luggage’s weight before arriving at the airport.,125
117,Robert Anderson,great scale,0,2017-12-20,5.0,havent had a probem with my luggage weight,42
118,John,Three Stars,0,2017-12-19,3.0,Feels cheaply made but gets the job done.,41
119,Clayon buchanan,Five Stars,0,2017-12-18,5.0,"If you travel this is worth the purchase, could save you $70 dollars for overweight.",84
120,John B.,"Compact, works well.",0,2017-12-16,5.0,"Works well, was very useful prior to and during a European trip to distribute items among suitcases to keep under airline weight limits.  Unit is small, but comfortable when lifting even heavier suitcases.",205
121,Sergio Lantin,Five Stars,0,2017-12-14,5.0,Perfect !,9
122,Fischer-Zernin,Just used it twice and it broke,0,2017-12-13,3.0,Just used it twice and it broke,31
123,Jammer,Also great for weighing cats,0,2017-12-11,5.0,Very handy tool!  We were able to weigh our luggage at home b=so we wouldn't be surprised by extra baggage fees at the airline check-in.  Also great for weighing cats.  Just catch 'em in a bag & string 'em up!,209
124,SpeedyFoot58,Five Stars,0,2017-12-10,5.0,Works great and helps alot,26
125,S. Elsherif,Five Stars,0,2017-12-09,5.0,Practical tool.,15
126,Ansatz,Must have for traveling,0,2017-12-08,5.0,"Buy this and keep it in one of the bags you check at the airport. It is small and convenient, much better than trying to use a bathroom scale. You can always make sure you don't go over the 50 pound limit. The hook makes it super easy to use on any luggage with a handle or strap.",280
127,Mr. Albers,I rolled the dice and lost!,0,2017-12-08,1.0,"Display didn't work right out of box. A few of the display segments worked but most didn't making it unreadable.  Yes, I read all the other reviews and rolled the dice but lost!  I don't get why amazon continues to sell these at this failure rate.",247
128,Tassia Penha Pereira,Good,0,2017-12-06,5.0,Very good product and good product!!,36
129,Joe D.,Two Stars,1,2017-12-06,2.0,Very cheap material,19
130,MrsJ,Easy to use!,0,2017-12-06,4.0,Works really well and easy to use.,34
131,Fran M,Really handy luggage scale,0,2017-12-05,5.0,Great!  Works well & is very handy because you can quickly check it and also take it with you to be sure of suitcase weight.,124
132,C is for Cookie,It's ok. I use it once every 3 months ...,2,2017-12-03,1.0,"It's ok.  I use it once every 3 months or so.  Seems that every time that I use it the battery is on its last legs. --Now I am removing the battery after use.  It would also be more convenient if it used AA or AAA batteries instead of the coin-sized lithiums so that you could use rechargeables.
*** Updated from 3 stars to 1 star.  Batteries die within a few minutes of use. Seems to be getting worse",401
133,Tirra,Good for testing recurve/long bow draw weights.,1,2017-12-01,5.0,"Cut off the strap and a very small section of the loop that comes out of the bottom of this scale and this scale makes a great tool for testing the draw weight of archery bows.  My scale arrived with a dead battery but I had a few extra of the type needed kicking around.  If you use this for bows then here's some advice; Don't use this scale by pulling back your string with it as if you are firing an arrow.  While that can work, it's not as reliable as placing your bow on a carpeted floor, holding it there with your stockinged foot and then using this scale to pull back the bow string to exactly your draw length(have someone with a measuring tape there to help you).  Using this scale and the method I just described, keep your string drawn to the draw length of your choice for several seconds and the scale will lock the measurement onto its screen.  Works great.  Nice to have a cheap tool to verify the stats on your bows.  PS:  Use a Dremel tool to do the cutting I described.  You'll risk breaking the scale trying to cut the pieces with pliers or hack saws.  The metal pieces that need to be cut are surprisingly strong.",1135
134,DiSH,One Star,1,2017-11-30,1.0,"Mine never worked from day 1.  Turned on, no readings.
Back to American tourists scale.",87
135,Chicago Sports Fan,Its Okay but not super accurate,1,2017-11-30,3.0,Good Basic Scale. But not super accurate can be off a 1 or 2 lbs. Can make a difference if you are near the limit for your luggage,130
136,Anna Castillo,Five Stars,0,2017-11-30,5.0,"Accurate, works well.",21
137,Luna,Five Stars,0,2017-11-28,5.0,Very handy!,11
138,Sharon Lane,This is so easy to use,0,2017-11-24,5.0,This is so easy to use. I was within 5 oz. when my baggage was weighed in at the airport!,89
139,Batang Quiapo,Five Stars,0,2017-11-22,5.0,Simple to use and accurate.,27
140,John,The price was good and the accuracy of the scale is very close ...,0,2017-11-19,5.0,"The price was good and the accuracy of the scale is very close to the airport weight scale.  Overall, this has been very useful to use prior to arriving at the airport and knowing that my bags are within the weight limit.",221
141,Miro Nguyen,Three Stars,2,2017-11-16,3.0,"Even though it works without any problem so far, the string feels cheap and flimsy. It hasn't broken though",107
142,Cheryl Faye Schwartz,Works well,0,2017-11-15,5.0,It's easy to use and it works well.,35
143,Alicia L,Great travel scale!,0,2017-11-15,5.0,spot on- brought on vacation to Disney last month to make sure we didn't go over the airline weight capacity.  # on this scale matched airport scales on the way to and from our destination.  I would recommend.,209
144,Army Wife,Short Battery Life,3,2017-11-14,3.0,"It's going to give you about 24 uses or so before you need to replace the battery.
I bought this to weigh out the hay I feed my horses. I use hay bags and need to weigh each bag so I'm sure the horses are getting the right amount of hay. I weight out 8 bags each day. After 3 days, the battery on this luggage scale was dead. I weighed 24 items and that was enough to drain the battery. I was surprised that the battery crapped out so quickly. Granted, it's a little button battery, but still.",493
145,sp,Every time you weight you will get different reading. ...,1,2017-11-13,3.0,"Every time you weight you will get different reading. Some time screen goes blank. Ok but can’t trust weight for baggage international flights.
Very hard to hold in palm stady with bag.",185
146,Jeff,Great luggage scale,0,2017-11-10,5.0,"Works great, weighed my suitcase with good accuracy",51
147,Kirk,Five Stars,0,2017-11-09,5.0,"Classic Amazon Basics. Basic, functional, low-cost.",51
148,Luis G. Teheran S,Five Stars,0,2017-11-06,5.0,Very practical if you will travel to another country.,53
149,Miss J.,Great product. It small and light enough to carry ...,0,2017-11-05,5.0,Great product. It small and light enough to carry with me as I travel so I always can accurately get my luggage weight right.,125
150,Edbert C. Lasam,Five Stars,0,2017-11-03,5.0,so easy and convenient now to travel.,37
151,Avinash Jain,I should have returned it but being lazy i kept ...,1,2017-10-29,1.0,"I should have returned it but being lazy i kept it. Weigh 45 pound  luggage multiple times, get different results. Approx variation was 4 pounds. Trashed it.",157
152,wdjcd,Handy Travel Scale,0,2017-10-25,5.0,This is a nice light weight and accurate scale.  The strap easily fits around your luggage handle and hooks onto the loop.  Very easy to use.,141
153,Les,What every traveler should carry.,0,2017-10-23,5.0,"Small, light-weight (easy to pack for return trip), accurate and easy to use. Price is right and features are complete. I recommend this one.",141
154,German V.,Damaged on arrival. Not a single use,1,2017-10-22,1.0,"We just wanted to weight our luggage on our last trip but this scale only shows 188.88... It doesn't works at all, not a single time worked. I wonder if I am doing something wrong or it's dead on arrival, but I can't use it even one time.",238
155,vicentote,I already have one and its very useful. This time I ordered one for my sister ...,0,2017-10-19,4.0,I already have one and its very useful. This time I ordered one for my sister but there was a problem with the delivering and finally I cancelled the order.,156
156,Scot Wisner,Gets the job done,0,2017-10-19,5.0,"Nothing fancy, but gets the job done. Small enough and light enough to take with you for your return trip weigh-in.",115
157,A. Severson,Five Stars,0,2017-10-17,5.0,Perfect size and accurate.,26
158,BeccaBT,Good product!,0,2017-10-17,5.0,Nice product. We have used this for many trips it saves the last minute panic of a overweight bag. Loop scale around handle. Pull tight with no pressure. Push to get zero pounds and lift and hold until scale stabilizes.,219
159,Suzanne Law,basic,1,2017-10-15,3.0,Only goes to a certain weight not over 100 lbs,46
160,Todd Justman,Accurate and quality!,0,2017-10-14,5.0,"Another good AmazonBasics product success!  To test this I grabbed a 5 pound bag of flour and sure enough the scale read 5.0 lbs.  Easy to use.  I plan to primarily use this to weigh my honey crop - heavy 50 pound buckets of honey.  You don't think it can handle it but it can!
Very simple to use - turn it on, don't put a load on the strap, hold it horizontal.  Then wrap the strap around your item and reconnect it at the swivel.  Once you lift the item you'll see the weight value change, and then flash.  Once done flashing you can put your item down and read the weight at your leisure since it's remembered.  This was important given I had a hard time reading the screen while holding 50 pounds in a weird way.
Not sure if it's a feature or a bug but when getting tare weight of an empty bucket weighing less than 2 pounds I didn't get the flashing followed by a locked weight.  Perhaps it's waiting to weigh more?
I plan on using this to get the weights of my honey bee hives.  All I need to get it to do is lift a side and then I double that weight.  Since this measures up to 110 lbs I should be good to go.",1116
161,Amritanshu,Amazon’s own version of a scale - A bit overpriced though,0,2017-10-12,4.0,"Beyond doubt this is a great utility tool for me, to check for weights and to carry around easily. It shows the precise weight. Its easy to attach to a bag. Where this one falls short though is the price, with just a basic built its not worth $10. The LCD is not backlight as well. The product feels as if it needs care else it would easily fall apart.",352
162,Kevin Diamant,which is useful for traveling when have a limited weight limit,0,2017-10-12,5.0,"This thing is a must for traveling. It just works. And it works well. It's also a light gadget in and of itself, which is useful for traveling when have a limited weight limit. I've had this for about a year now.",212
163,Matt,Worked fine for its short life,1,2017-10-05,3.0,"Worked well for 30ish uses over the course of a year, now its busted and wont turn on at all, even with a fresh battery.",120
164,Mean Green Gilligan,Accurate and works good. Wish it was a little bigger though so ...,0,2017-10-02,4.0,Accurate and works good. Wish it was a little bigger though so it would make it easier to hold.,95
165,Phillip Marshall,Not Just For Luggage,0,2017-10-01,5.0,"We purchased this for Bicycles not luggage.  Our group, Veterans Village USA, works with handicapped Veterans to get them riding bicycles.  Weight sometimes becomes a major factor so when putting custom built bikes together we weigh the parts.  The only awkward moment is when we weigh the entire bike we have to find a good balance point or stand on a ladder.  LOL",365
166,Ashley,Great portable lightweight scale,0,2017-09-30,5.0,"This scale works great, is lightweight, and very accurate! It saved us a lot of money because we could measure within a 1/4 of a pound and it matched the airport's scale. Also, when traveling abroad, the unit switching feature is  very handy!",242
167,Jacqueline  Grass,Four Stars,0,2017-09-29,4.0,Worked for what I needed for,28
168,Feel better,Perfect,0,2017-09-29,5.0,Does exactly what is needed for a great price.,46
169,S KHAN,Works great,0,2017-09-29,5.0,Does the job pretty well,24
170,Mr. Fumble Fingers,We recommend this product,0,2017-09-27,5.0,This saved us at least $100 so far. It is very accurate and allows you to have piece of mind at the airport check in that you won't be charged for heavy luggage! Thanks for making a quality product. We recommend this product.,225
171,Singing Tree,Five Stars,0,2017-09-25,5.0,Excellent product. Does exactly what it's supposed to and doesn't require a lot of storage space.,97
172,K2,Works perfectly and makes weighing my luggage much easier and ...,0,2017-09-24,5.0,Works perfectly and makes weighing my luggage much easier and more convenient than attempting to use my traditional bathroom scale.  It's a really sensible purchase for anyone who travels or plans to travel on a frequent basis.,227
173,Amazon Customer,Works great,0,2017-09-24,5.0,Very well prefect to take on travel or anything to use really,61
